epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.4664,3.05903,5.26839,2.4002,0.36039,0.01111,0.00948,0.00256,3.37652,5.82236,3.09546,0.00231586,0.00231586,0.0693409
2,57.6883,3.3472,8.06676,2.68216,0,0,0,0,nan,nan,nan,0.0046342,0.0046342,0.038326
3,73.4815,3.55217,5.18682,2.8261,0.01926,0.00934,0.00186,0.00028,4.5665,nan,3.79108,0.00692973,0.00692973,0.00728815
4,88.8563,3.49702,4.87564,2.87188,0.00581,0.11146,0.00345,0.00105,nan,nan,nan,0.00692044,0.00692044,0.00692044
5,103.758,3.37156,4.57644,2.75637,0.00035,0.01177,0.00167,0.00072,4.37743,5.54311,3.12503,0.00688622,0.00688622,0.00688622
6,118.621,3.31255,4.30357,2.70966,0.21528,0.11597,0.082,0.02293,3.47479,4.63623,2.8397,0.006852,0.006852,0.006852
7,133.412,3.17127,4.1827,2.63507,0.11842,0.07688,0.03367,0.01152,3.53443,4.88911,2.9727,0.00681779,0.00681779,0.00681779
8,148.3,3.13142,4.14706,2.61907,0.14698,0.10766,0.05985,0.01666,3.37278,5.52147,2.86958,0.00678357,0.00678357,0.00678357
9,162.964,3.10129,4.04137,2.57055,0.22709,0.11523,0.06667,0.01889,3.35164,4.22417,2.78475,0.00674935,0.00674935,0.00674935
10,177.861,3.12105,4.13164,2.6174,0.00814,0.26349,0.02191,0.00797,3.53152,5.2727,3.15078,0.00671514,0.00671514,0.00671514
11,193.129,3.04142,3.93261,2.5294,0.40664,0.10202,0.03958,0.01185,3.32417,4.39739,2.74575,0.00668092,0.00668092,0.00668092
12,208.155,3.04117,3.914,2.51372,0.48159,0.08502,0.06274,0.01751,3.42415,4.45125,2.93254,0.0066467,0.0066467,0.0066467
13,222.789,3.01998,3.82125,2.52179,0.76842,0.07955,0.08868,0.02352,3.35714,4.28991,2.82548,0.00661249,0.00661249,0.00661249
14,237.365,3.03712,3.90089,2.56621,0.14261,0.10721,0.06636,0.01966,3.17135,3.99501,2.73652,0.00657827,0.00657827,0.00657827
15,252.214,2.99683,3.91519,2.54125,0.02381,0.1015,0.00822,0.00232,nan,nan,nan,0.00654405,0.00654405,0.00654405
16,266.697,2.99952,3.84038,2.5328,0.12755,0.16074,0.06352,0.01568,3.5355,4.18834,2.98547,0.00650984,0.00650984,0.00650984
17,281.779,2.98939,3.79837,2.50657,0.12438,0.12583,0.05655,0.01719,3.10537,4.57181,2.63056,0.00647562,0.00647562,0.00647562
18,296.994,2.92059,3.74123,2.50475,0.62614,0.11902,0.10149,0.02594,3.2902,4.17628,2.80655,0.0064414,0.0064414,0.0064414
19,312.198,2.95119,3.76498,2.49152,0.13354,0.15006,0.08482,0.02757,3.25205,3.89489,2.79103,0.00640719,0.00640719,0.00640719
20,327.371,2.94221,3.80335,2.50183,0.22423,0.15468,0.09322,0.02598,3.24858,4.46459,2.76983,0.00637297,0.00637297,0.00637297
21,342.179,2.94562,3.67121,2.48752,0.1753,0.22354,0.11152,0.03256,3.20559,3.96493,2.77577,0.00633875,0.00633875,0.00633875
