epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.2623,2.31457,3.62744,1.79125,0.20089,0.16501,0.11502,0.04301,2.96467,4.01726,2.44777,0.000172488,0.000172488,0.0671976
2,82.9788,2.09274,2.48913,1.6473,0.27841,0.34036,0.25592,0.10818,2.69726,3.17754,2.12347,0.00034516,0.00034516,0.0340369
3,95.0921,2.0596,2.36138,1.62256,0.28608,0.30791,0.22648,0.08477,2.67309,3.66351,2.08706,0.000516134,0.000516134,0.000874557
4,106.333,2.03972,2.30169,1.60724,0.35379,0.37308,0.31005,0.13026,2.62669,2.92091,2.0925,0.000515442,0.000515442,0.000515442
5,118.198,1.99612,2.23993,1.59608,0.30877,0.35506,0.28359,0.12274,2.63934,3.25087,2.07135,0.000512893,0.000512893,0.000512893
6,129.254,1.95807,2.15346,1.55153,0.41465,0.41431,0.35448,0.1412,2.63472,2.92117,1.9692,0.000510345,0.000510345,0.000510345
7,140.581,1.97037,2.12826,1.55176,0.35335,0.43493,0.3313,0.1295,2.62741,2.81574,1.9665,0.000507796,0.000507796,0.000507796
8,151.447,1.93391,2.07002,1.5419,0.40615,0.42937,0.36513,0.13929,2.64298,2.76573,2.0245,0.000505248,0.000505248,0.000505248
9,162.074,1.93946,2.05585,1.53361,0.32154,0.43247,0.33247,0.13874,2.57866,2.94865,2.02358,0.000502699,0.000502699,0.000502699
10,171.915,1.91229,2.00287,1.52862,0.44531,0.39268,0.36598,0.15418,2.58593,2.94708,1.92797,0.000500151,0.000500151,0.000500151
11,181.084,1.8715,1.94292,1.50638,0.46674,0.41166,0.40024,0.17225,2.54904,2.66698,1.93688,0.000497602,0.000497602,0.000497602
12,190.49,1.90287,1.95189,1.49839,0.4483,0.40896,0.38072,0.15882,2.59762,2.69005,2.00012,0.000495054,0.000495054,0.000495054
13,200.61,1.86139,1.88868,1.47996,0.48153,0.45641,0.39797,0.16212,2.5961,2.64855,1.9793,0.000492505,0.000492505,0.000492505
14,210.424,1.86476,1.91247,1.49557,0.47472,0.42671,0.41108,0.16915,2.57204,2.7287,1.95009,0.000489957,0.000489957,0.000489957
15,219.278,1.84718,1.88274,1.48069,0.41385,0.44612,0.37612,0.156,2.59138,2.666,1.96322,0.000487408,0.000487408,0.000487408
16,228.296,1.85084,1.86809,1.48225,0.4043,0.46832,0.41666,0.16723,2.55492,2.64467,1.92658,0.00048486,0.00048486,0.00048486
17,237.419,1.82628,1.80729,1.46277,0.52335,0.41893,0.41975,0.17419,2.56853,2.6605,1.99027,0.000482311,0.000482311,0.000482311
18,246.272,1.82051,1.79721,1.47297,0.40588,0.44816,0.39431,0.16728,2.55349,2.67448,1.96642,0.000479763,0.000479763,0.000479763
19,255.743,1.80706,1.75319,1.45836,0.52249,0.38937,0.40984,0.16374,2.57272,2.60707,1.98983,0.000477214,0.000477214,0.000477214
20,266.591,1.78173,1.7216,1.43947,0.46543,0.45556,0.43684,0.18241,2.61409,2.69587,1.99753,0.000474666,0.000474666,0.000474666
21,276.92,1.76789,1.74065,1.43936,0.51106,0.43542,0.42003,0.17418,2.62027,2.74667,2.01421,0.000472117,0.000472117,0.000472117
22,288.118,1.79842,1.73215,1.44586,0.50217,0.44245,0.43753,0.17863,2.64903,2.63474,2.00993,0.000469569,0.000469569,0.000469569
23,297.832,1.77801,1.6574,1.4267,0.44813,0.47104,0.43133,0.18036,2.58462,2.5715,1.96316,0.00046702,0.00046702,0.00046702
24,308.989,1.77998,1.71858,1.44127,0.4994,0.47091,0.43533,0.17534,2.548,2.53786,1.97984,0.000464472,0.000464472,0.000464472
25,319.589,1.76098,1.70994,1.43938,0.51125,0.47139,0.46706,0.19534,2.56034,2.51407,1.95278,0.000461923,0.000461923,0.000461923
26,329.066,1.74197,1.63281,1.40577,0.51786,0.44484,0.43133,0.18353,2.58988,2.65463,1.97331,0.000459375,0.000459375,0.000459375
27,338.975,1.73051,1.63679,1.41692,0.54278,0.42849,0.40776,0.16487,2.60428,2.68037,1.96271,0.000456826,0.000456826,0.000456826
28,348.307,1.7271,1.63663,1.41392,0.49719,0.44139,0.43278,0.17007,2.64024,2.59771,2.01234,0.000454278,0.000454278,0.000454278
29,359.526,1.70941,1.59431,1.40044,0.49473,0.47606,0.46015,0.1895,2.54097,2.53641,1.9364,0.000451729,0.000451729,0.000451729
30,371.004,1.72815,1.62771,1.40531,0.53182,0.46771,0.458,0.18887,2.56621,2.41854,1.9685,0.000449181,0.000449181,0.000449181
31,381.188,1.70291,1.57044,1.39295,0.56392,0.46396,0.47365,0.20734,2.53215,2.47818,1.94421,0.000446632,0.000446632,0.000446632
32,390.787,1.683,1.54499,1.38318,0.49679,0.44665,0.43339,0.18644,2.61079,2.6544,2.04613,0.000444084,0.000444084,0.000444084
33,400.474,1.70368,1.5445,1.40241,0.47795,0.45838,0.4166,0.16524,2.64507,2.67056,2.0312,0.000441535,0.000441535,0.000441535
34,410.742,1.68666,1.54192,1.38815,0.47199,0.45493,0.43094,0.1714,2.59991,2.58752,1.97424,0.000438987,0.000438987,0.000438987
35,420.919,1.70371,1.53205,1.39721,0.50493,0.4842,0.44477,0.18534,2.5973,2.57353,1.97731,0.000436438,0.000436438,0.000436438
36,431.692,1.66971,1.49404,1.36815,0.53821,0.43494,0.42034,0.167,2.62735,2.59926,1.98825,0.00043389,0.00043389,0.00043389
37,442.086,1.67336,1.49163,1.38049,0.5326,0.45695,0.44789,0.1879,2.5945,2.53389,1.99905,0.000431341,0.000431341,0.000431341
38,453.247,1.66355,1.49675,1.36368,0.57041,0.46206,0.45534,0.19975,2.57741,2.50514,1.9594,0.000428793,0.000428793,0.000428793
39,464.011,1.67967,1.48027,1.37264,0.54794,0.45363,0.44713,0.18322,2.62933,2.62857,1.9994,0.000426244,0.000426244,0.000426244
40,474.5,1.63984,1.43682,1.3579,0.50714,0.44761,0.43043,0.18332,2.6216,2.65587,2.03245,0.000423696,0.000423696,0.000423696
41,485.228,1.67612,1.47445,1.37827,0.55784,0.44885,0.44895,0.17791,2.65698,2.66387,2.05225,0.000421147,0.000421147,0.000421147
42,496.137,1.6186,1.40613,1.34355,0.53541,0.44287,0.44582,0.18749,2.67878,2.69401,2.0467,0.000418599,0.000418599,0.000418599
43,507.776,1.61776,1.41198,1.34027,0.55498,0.4555,0.47879,0.19894,2.68701,2.54179,2.05391,0.00041605,0.00041605,0.00041605
44,518.332,1.61886,1.3888,1.34191,0.5209,0.41105,0.42603,0.17716,2.71404,2.66583,2.0888,0.000413502,0.000413502,0.000413502
45,529.006,1.60183,1.36091,1.33269,0.53082,0.43893,0.43391,0.1761,2.68362,2.76061,2.04148,0.000410953,0.000410953,0.000410953
46,539.211,1.62227,1.40484,1.34621,0.5209,0.47055,0.44103,0.18146,2.71386,2.62944,2.04313,0.000408405,0.000408405,0.000408405
47,548.631,1.6043,1.37322,1.31998,0.52118,0.43299,0.43998,0.18148,2.69993,2.73733,2.05174,0.000405856,0.000405856,0.000405856
48,558.088,1.59977,1.36215,1.33354,0.49835,0.4771,0.45986,0.18199,2.71415,2.76224,2.04189,0.000403308,0.000403308,0.000403308
49,568.92,1.59245,1.34616,1.32634,0.51283,0.47913,0.45993,0.19126,2.6791,2.55745,2.06335,0.000400759,0.000400759,0.000400759
50,580.432,1.57394,1.33187,1.30847,0.49411,0.51162,0.45991,0.19525,2.68231,2.447,2.0152,0.000398211,0.000398211,0.000398211
51,590.754,1.57282,1.29562,1.30027,0.52146,0.44313,0.44488,0.19057,2.64674,2.54454,2.01934,0.000395662,0.000395662,0.000395662
52,600.616,1.57349,1.30526,1.30477,0.52203,0.452,0.4446,0.19102,2.65378,2.65937,2.02673,0.000393114,0.000393114,0.000393114
53,609.938,1.54984,1.27876,1.2932,0.47303,0.50895,0.45173,0.18877,2.68064,2.66236,2.01829,0.000390565,0.000390565,0.000390565
54,620.367,1.56044,1.31412,1.31133,0.56954,0.46539,0.47398,0.20118,2.68401,2.47241,1.9978,0.000388017,0.000388017,0.000388017
55,630.683,1.54769,1.25353,1.29076,0.50138,0.48066,0.46643,0.19584,2.74474,2.69659,2.06647,0.000385468,0.000385468,0.000385468
56,641.391,1.55265,1.28439,1.29831,0.54693,0.47459,0.45987,0.18387,2.71179,2.55299,2.0787,0.00038292,0.00038292,0.00038292
57,651.685,1.54549,1.26472,1.29114,0.53724,0.47322,0.46016,0.18969,2.73903,2.54277,2.04718,0.000380371,0.000380371,0.000380371
58,662.957,1.53315,1.27638,1.30065,0.5444,0.4437,0.44957,0.1888,2.77284,2.68345,2.12071,0.000377823,0.000377823,0.000377823
59,673.628,1.53074,1.25928,1.28509,0.56502,0.43506,0.44391,0.17795,2.75527,2.80062,2.12146,0.000375274,0.000375274,0.000375274
60,684.436,1.49185,1.2259,1.27071,0.53558,0.4541,0.4387,0.18109,2.77373,2.61463,2.10102,0.000372726,0.000372726,0.000372726
61,694.248,1.50752,1.21423,1.27089,0.53177,0.47688,0.45308,0.19004,2.73246,2.62461,2.0672,0.000370177,0.000370177,0.000370177
62,704.852,1.50198,1.22065,1.27421,0.55369,0.45267,0.44702,0.1867,2.74128,2.633,2.08321,0.000367629,0.000367629,0.000367629
63,714.884,1.48771,1.18612,1.27047,0.55787,0.47006,0.46453,0.19186,2.71861,2.63872,2.06578,0.00036508,0.00036508,0.00036508
64,725.44,1.47596,1.17591,1.25467,0.57281,0.48977,0.48024,0.20688,2.72595,2.50623,2.07736,0.000362532,0.000362532,0.000362532
65,735.652,1.47593,1.18685,1.25404,0.55767,0.46033,0.44457,0.17968,2.79752,2.66697,2.11255,0.000359983,0.000359983,0.000359983
66,746.619,1.46944,1.17503,1.25323,0.52311,0.49633,0.43485,0.17231,2.79294,2.69041,2.14357,0.000357435,0.000357435,0.000357435
67,757.986,1.47606,1.16495,1.2607,0.52024,0.49172,0.44978,0.1907,2.79647,2.55,2.14619,0.000354886,0.000354886,0.000354886
