epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.232,2.40184,3.73265,2.02469,0.39491,0.05002,0.02154,0.00789,2.52545,23.7203,2.52355,0.000502237,0.000502237,0.0675273
2,186.233,2.24409,2.55069,1.93785,0.07026,0.10925,0.05034,0.01421,2.49163,14.7418,2.53346,0.0010033,0.0010033,0.0346951
3,245.028,2.21115,2.50299,1.93377,0.26415,0.32071,0.2068,0.07568,2.37701,3.61979,2.18112,0.00149771,0.00149771,0.00185613
4,303.255,2.2095,2.45341,1.93463,0.27141,0.35569,0.21284,0.085,2.32017,3.29432,2.08013,0.0014931,0.0014931,0.0014931
5,361.086,2.19494,2.43662,1.92532,0.35142,0.32976,0.25722,0.09587,2.36588,3.51993,2.20246,0.00148311,0.00148311,0.00148311
6,420.185,2.12742,2.34986,1.86945,0.24816,0.33152,0.20977,0.08428,2.30716,3.05524,2.16483,0.00147311,0.00147311,0.00147311
7,478.364,2.14632,2.29758,1.8349,0.27586,0.28932,0.22605,0.0955,2.33009,3.26011,2.0607,0.00146311,0.00146311,0.00146311
8,536.325,2.14838,2.27656,1.83547,0.22447,0.41506,0.27239,0.10785,2.23398,2.87937,1.99944,0.00145312,0.00145312,0.00145312
9,594.505,2.08034,2.22571,1.79767,0.27641,0.3545,0.25204,0.09774,2.26132,2.61135,2.12825,0.00144312,0.00144312,0.00144312
10,651.8,2.08661,2.19983,1.81377,0.37382,0.32435,0.3007,0.1177,2.19529,2.53657,2.01167,0.00143313,0.00143313,0.00143313
11,709.853,2.06038,2.19684,1.78978,0.36166,0.35978,0.31899,0.13031,2.18832,2.4801,1.97381,0.00142313,0.00142313,0.00142313
12,766.539,2.03783,2.13922,1.76953,0.39257,0.30757,0.29399,0.12146,2.23346,2.52251,2.03948,0.00141314,0.00141314,0.00141314
13,825.053,2.04449,2.1613,1.76186,0.39604,0.34104,0.31869,0.13579,2.18216,2.45075,2.02252,0.00140314,0.00140314,0.00140314
14,883.196,2.03792,2.12716,1.75506,0.36184,0.409,0.34029,0.14094,2.10208,2.36722,1.89595,0.00139314,0.00139314,0.00139314
15,940.734,1.99906,2.08176,1.76125,0.37348,0.3817,0.31493,0.12094,2.16319,2.53377,2.00195,0.00138315,0.00138315,0.00138315
16,1000.76,2.0102,2.04651,1.75789,0.42033,0.36296,0.33009,0.1362,2.17925,2.33839,1.92762,0.00137315,0.00137315,0.00137315
17,1059.74,2.01595,2.01794,1.74793,0.32459,0.41023,0.35205,0.14492,2.14865,2.51782,1.92202,0.00136316,0.00136316,0.00136316
18,1118.49,1.97938,2.02215,1.71759,0.35772,0.38391,0.31008,0.12886,2.13867,2.40716,1.97514,0.00135316,0.00135316,0.00135316
