epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.8666,2.38496,3.77211,2.35174,0.1971,0.22231,0.1408,0.05093,2.48491,4.01822,2.58337,0.000498994,0.000498994,0.0672327
2,116.535,2.34309,3.46921,2.32311,0.22404,0.30866,0.20261,0.07755,2.18003,4.74917,2.28598,0.000994049,0.000994049,0.0343945
3,157.899,2.28211,3.38788,2.30522,0.26302,0.27026,0.22324,0.08296,2.18225,3.22038,2.31478,0.00148415,0.00148415,0.00155122
4,197.997,2.24664,3.26253,2.234,0.29871,0.28957,0.22899,0.09316,2.14232,3.40313,2.24225,0.00147773,0.00147773,0.00147773
5,237.831,2.21283,3.18697,2.19721,0.32305,0.32197,0.25008,0.09162,2.17587,3.94712,2.33187,0.0014703,0.0014703,0.0014703
6,277.546,2.17907,3.16654,2.20809,0.35464,0.32652,0.28979,0.1159,2.10668,3.03865,2.20804,0.00146287,0.00146287,0.00146287
7,317.764,2.14024,3.06657,2.13113,0.38289,0.28293,0.26697,0.10416,2.20151,3.2546,2.27336,0.00145545,0.00145545,0.00145545
8,358.131,2.09582,2.9706,2.08941,0.33222,0.34425,0.27979,0.11281,2.09466,2.97419,2.13293,0.00144802,0.00144802,0.00144802
9,398.183,2.09063,2.9673,2.07792,0.33859,0.40752,0.30636,0.11426,2.05824,2.91871,2.10639,0.0014406,0.0014406,0.0014406
10,438.419,2.07957,2.91272,2.08435,0.32587,0.32307,0.26266,0.10599,2.13127,2.97884,2.17658,0.00143317,0.00143317,0.00143317
11,478.309,2.07341,2.87923,2.07209,0.30616,0.36397,0.29118,0.11685,2.09605,3.0056,2.149,0.00142575,0.00142575,0.00142575
12,518.825,2.05778,2.8744,2.04885,0.40212,0.38244,0.33705,0.14201,2.0308,2.83023,2.11659,0.00141833,0.00141833,0.00141833
13,559.953,2.05752,2.83624,2.05833,0.39999,0.35372,0.29463,0.1167,2.0975,3.04521,2.20423,0.0014109,0.0014109,0.0014109
14,602.225,2.00165,2.77838,2.01992,0.37014,0.38265,0.33129,0.13725,2.07647,2.75536,2.15594,0.00140348,0.00140348,0.00140348
15,644.576,2.00435,2.73111,2.02512,0.39711,0.36631,0.32502,0.13347,2.04541,2.76222,2.11302,0.00139605,0.00139605,0.00139605
16,687.078,2.00717,2.66492,2.01039,0.37982,0.4064,0.34704,0.12989,2.08868,2.76329,2.11582,0.00138863,0.00138863,0.00138863
17,729.403,1.96451,2.62032,1.99878,0.41456,0.41496,0.37118,0.14683,2.03459,2.7173,2.12792,0.0013812,0.0013812,0.0013812
18,771.901,1.96896,2.63153,2.00217,0.39144,0.4058,0.34925,0.13825,2.08154,2.70629,2.14642,0.00137378,0.00137378,0.00137378
19,814.24,1.97811,2.6326,1.98616,0.41358,0.39518,0.33953,0.13263,2.07684,2.74062,2.14147,0.00136635,0.00136635,0.00136635
20,857.035,1.9496,2.58874,1.9681,0.39052,0.41933,0.36281,0.14196,2.08729,2.67468,2.13249,0.00135892,0.00135892,0.00135892
21,899.659,1.94536,2.57006,1.97833,0.42965,0.38097,0.3521,0.13029,2.086,2.74015,2.11697,0.0013515,0.0013515,0.0013515
22,942.114,1.94891,2.51926,1.98214,0.41466,0.42725,0.37473,0.15191,2.02392,2.62327,2.10707,0.00134408,0.00134408,0.00134408
23,984.92,1.94594,2.51121,1.94466,0.42735,0.3865,0.36923,0.14786,2.08573,2.70554,2.15524,0.00133665,0.00133665,0.00133665
24,1027.57,1.92755,2.50092,1.95947,0.45051,0.40654,0.3733,0.15521,2.01286,2.63507,2.08379,0.00132923,0.00132923,0.00132923
25,1070.15,1.90723,2.45707,1.93133,0.44387,0.37688,0.36213,0.14874,2.02015,2.68461,2.09477,0.0013218,0.0013218,0.0013218
26,1112.79,1.89764,2.44713,1.92522,0.45502,0.39817,0.3716,0.15157,2.05344,2.61735,2.12329,0.00131438,0.00131438,0.00131438
27,1155.39,1.88146,2.34618,1.90437,0.38363,0.41588,0.36988,0.14405,2.05099,2.63347,2.10777,0.00130695,0.00130695,0.00130695
28,1197.85,1.86706,2.35585,1.89534,0.41385,0.449,0.39075,0.15423,2.04458,2.65176,2.12197,0.00129952,0.00129952,0.00129952
29,1240.25,1.84895,2.37336,1.8862,0.45031,0.418,0.39437,0.15549,2.05201,2.57244,2.13193,0.0012921,0.0012921,0.0012921
30,1282.79,1.8566,2.31408,1.89003,0.42259,0.42743,0.38413,0.1523,2.06343,2.61161,2.12402,0.00128467,0.00128467,0.00128467
31,1325.49,1.83555,2.27632,1.86393,0.47733,0.40079,0.39633,0.15466,2.06874,2.60043,2.12758,0.00127725,0.00127725,0.00127725
32,1367.39,1.82906,2.22092,1.87524,0.42567,0.44545,0.38851,0.15307,2.05351,2.49657,2.09828,0.00126983,0.00126983,0.00126983
33,1409.15,1.81052,2.23964,1.85571,0.46011,0.45006,0.39144,0.15547,2.03975,2.55151,2.11558,0.0012624,0.0012624,0.0012624
34,1449.71,1.801,2.19877,1.84795,0.39868,0.42299,0.37453,0.14197,2.09208,2.54881,2.15284,0.00125497,0.00125497,0.00125497
35,1492.46,1.83707,2.19489,1.87651,0.41503,0.42845,0.39012,0.15348,2.06972,2.575,2.13626,0.00124755,0.00124755,0.00124755
36,1535.39,1.78632,2.1438,1.8402,0.44654,0.47296,0.41395,0.16329,2.05572,2.47896,2.12177,0.00124012,0.00124012,0.00124012
37,1578.45,1.79607,2.13443,1.84843,0.42252,0.4403,0.38304,0.15412,2.06157,2.57748,2.14321,0.0012327,0.0012327,0.0012327
38,1621.44,1.77362,2.0875,1.82485,0.45055,0.47996,0.42406,0.15834,2.11185,2.5074,2.17088,0.00122528,0.00122528,0.00122528
39,1664.48,1.75935,2.06278,1.81401,0.48636,0.4511,0.42452,0.16654,2.08898,2.49142,2.15267,0.00121785,0.00121785,0.00121785
40,1707.48,1.74982,2.05142,1.80724,0.42661,0.45683,0.41587,0.166,2.08383,2.50492,2.16499,0.00121042,0.00121042,0.00121042
41,1750.37,1.74456,2.04884,1.79338,0.47058,0.46709,0.41351,0.16585,2.0771,2.52799,2.16013,0.001203,0.001203,0.001203
42,1793.32,1.73706,1.97868,1.7991,0.45144,0.48704,0.42486,0.16571,2.09492,2.50602,2.15078,0.00119558,0.00119558,0.00119558
43,1836.27,1.75358,1.99929,1.79767,0.46204,0.42044,0.39282,0.15027,2.12423,2.64991,2.20484,0.00118815,0.00118815,0.00118815
44,1879.25,1.73071,1.96596,1.79399,0.46489,0.41814,0.38688,0.15604,2.09482,2.52685,2.17526,0.00118073,0.00118073,0.00118073
45,1922.25,1.71452,1.9522,1.78532,0.47459,0.40148,0.39105,0.15524,2.11117,2.6179,2.18381,0.0011733,0.0011733,0.0011733
46,1965.02,1.72318,1.92896,1.77081,0.44158,0.44602,0.40497,0.16156,2.10302,2.59961,2.16587,0.00116588,0.00116588,0.00116588
47,2007.89,1.70844,1.90401,1.77116,0.48392,0.4297,0.4221,0.16121,2.1326,2.48056,2.20176,0.00115845,0.00115845,0.00115845
48,2050.97,1.70036,1.87972,1.77616,0.45453,0.42914,0.39017,0.15395,2.10355,2.55035,2.17314,0.00115102,0.00115102,0.00115102
49,2093.95,1.69376,1.88381,1.75214,0.45753,0.42404,0.40075,0.16113,2.10205,2.56204,2.20992,0.0011436,0.0011436,0.0011436
50,2136.74,1.66796,1.85801,1.73331,0.48316,0.41578,0.41113,0.15935,2.14197,2.58037,2.20547,0.00113617,0.00113617,0.00113617
51,2179.55,1.66754,1.83119,1.74191,0.41949,0.43605,0.3824,0.15406,2.17496,2.58056,2.27464,0.00112875,0.00112875,0.00112875
52,2222.45,1.67211,1.8499,1.74582,0.43585,0.41229,0.39385,0.1593,2.15104,2.62443,2.20829,0.00112133,0.00112133,0.00112133
53,2265.25,1.65059,1.8003,1.72075,0.48464,0.47218,0.42142,0.16324,2.1586,2.52345,2.23538,0.0011139,0.0011139,0.0011139
54,2307.71,1.63596,1.77584,1.70504,0.45273,0.42368,0.39897,0.1529,2.13957,2.58342,2.22725,0.00110647,0.00110647,0.00110647
55,2350.58,1.62882,1.73712,1.71034,0.46386,0.45988,0.40923,0.15754,2.16277,2.60226,2.24241,0.00109905,0.00109905,0.00109905
56,2393.84,1.62906,1.74442,1.69974,0.45889,0.44271,0.39287,0.15688,2.12354,2.59646,2.20923,0.00109162,0.00109162,0.00109162
57,2437.23,1.61106,1.70857,1.69428,0.48348,0.47492,0.41635,0.1648,2.17542,2.54188,2.26411,0.0010842,0.0010842,0.0010842
58,2480.39,1.62074,1.71993,1.70518,0.45249,0.4203,0.39024,0.15586,2.15683,2.56918,2.25074,0.00107678,0.00107678,0.00107678
59,2523.61,1.60575,1.68285,1.67876,0.46085,0.4648,0.41511,0.16234,2.17189,2.51089,2.24674,0.00106935,0.00106935,0.00106935
60,2566.85,1.57376,1.63876,1.67473,0.43827,0.45551,0.40625,0.16416,2.17122,2.56544,2.2507,0.00106193,0.00106193,0.00106193
61,2610.16,1.56976,1.61892,1.66308,0.5001,0.43914,0.41411,0.15941,2.19323,2.57834,2.28379,0.0010545,0.0010545,0.0010545
62,2653.53,1.56326,1.59749,1.6573,0.46733,0.4369,0.39693,0.15545,2.14738,2.45316,2.21476,0.00104708,0.00104708,0.00104708
63,2696.92,1.55174,1.59251,1.65405,0.48896,0.41342,0.40339,0.15953,2.17683,2.59087,2.27612,0.00103965,0.00103965,0.00103965
64,2737.26,1.56824,1.59548,1.65545,0.48785,0.46219,0.41125,0.15797,2.18442,2.56759,2.28564,0.00103223,0.00103223,0.00103223
65,2777.61,1.5497,1.56864,1.64149,0.52029,0.42374,0.40589,0.15606,2.20356,2.5642,2.30124,0.0010248,0.0010248,0.0010248
66,2817.65,1.51896,1.57636,1.63012,0.47013,0.46877,0.38892,0.1517,2.22073,2.59939,2.33951,0.00101738,0.00101738,0.00101738
67,2858.99,1.51258,1.53597,1.6261,0.45657,0.46281,0.40552,0.15661,2.17192,2.57345,2.27542,0.00100995,0.00100995,0.00100995
68,2902.41,1.50355,1.48557,1.60901,0.41123,0.4611,0.38362,0.14902,2.23003,2.74262,2.34865,0.00100252,0.00100252,0.00100252
69,2945.79,1.49009,1.47137,1.60732,0.45658,0.43319,0.39104,0.15581,2.19574,2.63253,2.30221,0.0009951,0.0009951,0.0009951
