epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.8737,2.73214,3.75777,2.32182,0.238,0.2719,0.15474,0.05701,2.59378,4.37437,2.3848,0.000499204,0.000499204,0.0672189
2,148.66,2.66982,3.47222,2.35305,0.19388,0.31138,0.16813,0.06747,2.54689,4.58961,2.42472,0.000999034,0.000999034,0.0343854
3,203.438,2.61269,3.39157,2.31542,0.2834,0.27517,0.19769,0.07403,2.53005,3.8592,2.35478,0.00149819,0.00149819,0.00155127
4,258.174,2.58982,3.29327,2.27678,0.28216,0.27697,0.21932,0.08693,2.52108,3.24689,2.27591,0.00149771,0.00149771,0.00149771
5,312.967,2.51535,3.241,2.22171,0.31745,0.27823,0.22831,0.09243,2.49092,3.42939,2.30592,0.00149593,0.00149593,0.00149593
6,367.979,2.46361,3.13823,2.16816,0.36721,0.32012,0.27102,0.10794,2.37531,3.06688,2.20443,0.00149365,0.00149365,0.00149365
7,422.82,2.4313,3.06715,2.15734,0.36429,0.35479,0.30547,0.1151,2.35296,2.98728,2.15609,0.00149086,0.00149086,0.00149086
8,478.092,2.4146,2.97148,2.12618,0.33054,0.36087,0.27098,0.10708,2.41413,2.98722,2.23723,0.00148757,0.00148757,0.00148757
9,530.026,2.3702,2.94296,2.10157,0.37619,0.3307,0.28719,0.1224,2.34938,2.95854,2.18154,0.00148377,0.00148377,0.00148377
10,584.286,2.35905,2.88118,2.1002,0.36051,0.37878,0.30216,0.11695,2.38267,2.96467,2.18102,0.00147948,0.00147948,0.00147948
11,638.559,2.35663,2.88075,2.08736,0.34409,0.38215,0.3136,0.12772,2.33641,2.81449,2.16594,0.0014747,0.0014747,0.0014747
12,692.958,2.32757,2.84595,2.08465,0.35179,0.35631,0.30228,0.12803,2.32721,2.94177,2.1675,0.00146942,0.00146942,0.00146942
13,747.371,2.31195,2.74635,2.04474,0.37842,0.39134,0.32905,0.13368,2.34559,2.84126,2.20449,0.00146366,0.00146366,0.00146366
14,801.757,2.31051,2.79184,2.06075,0.34477,0.38509,0.32577,0.13081,2.32804,2.83901,2.16769,0.00145741,0.00145741,0.00145741
15,855.867,2.27605,2.70081,2.03178,0.38684,0.40189,0.33402,0.13548,2.27613,2.68378,2.11531,0.00145068,0.00145068,0.00145068
16,909.359,2.2857,2.71667,2.04019,0.37317,0.38296,0.32747,0.12853,2.34747,2.76908,2.13202,0.00144348,0.00144348,0.00144348
17,961.931,2.27161,2.65402,2.01152,0.40284,0.39637,0.33506,0.12986,2.328,2.82117,2.12817,0.00143581,0.00143581,0.00143581
18,1014.72,2.25117,2.64191,2.02277,0.41826,0.3801,0.35231,0.14119,2.29945,2.70559,2.13447,0.00142767,0.00142767,0.00142767
19,1070.13,2.23913,2.6303,2.01647,0.35484,0.38938,0.31644,0.12916,2.33833,2.76696,2.15088,0.00141907,0.00141907,0.00141907
20,1124.59,2.20808,2.55186,2.00187,0.41469,0.39158,0.34969,0.13966,2.31662,2.69693,2.14585,0.00141002,0.00141002,0.00141002
21,1179.22,2.20568,2.53537,1.98724,0.41726,0.39191,0.34009,0.13878,2.31076,2.72716,2.15593,0.00140052,0.00140052,0.00140052
22,1233.99,2.22455,2.54272,2.00235,0.37744,0.4073,0.32193,0.12504,2.34279,2.80164,2.19745,0.00139059,0.00139059,0.00139059
23,1288.63,2.1996,2.52254,1.99424,0.45628,0.40514,0.39497,0.16206,2.29805,2.63427,2.11435,0.00138021,0.00138021,0.00138021
24,1343.26,2.16667,2.46018,1.95325,0.4217,0.42677,0.3834,0.15604,2.30129,2.62975,2.14981,0.00136941,0.00136941,0.00136941
25,1395.91,2.18782,2.42363,1.97969,0.39973,0.41455,0.36522,0.14817,2.35493,2.64649,2.15209,0.0013582,0.0013582,0.0013582
26,1448.59,2.16331,2.41727,1.94146,0.44887,0.40615,0.37385,0.15166,2.3182,2.66018,2.11304,0.00134656,0.00134656,0.00134656
27,1501.26,2.14167,2.3795,1.92654,0.43325,0.44835,0.38487,0.15102,2.30934,2.59923,2.15197,0.00133453,0.00133453,0.00133453
28,1553.87,2.11975,2.33583,1.91812,0.38265,0.43025,0.34066,0.12815,2.35794,2.81703,2.13992,0.0013221,0.0013221,0.0013221
29,1606.56,2.11722,2.34986,1.91802,0.42966,0.40897,0.36686,0.1482,2.33089,2.64621,2.16048,0.00130929,0.00130929,0.00130929
30,1660.17,2.10529,2.28304,1.91075,0.41257,0.44703,0.3727,0.15458,2.34822,2.60245,2.17075,0.00129609,0.00129609,0.00129609
31,1715.52,2.10949,2.30152,1.90641,0.39662,0.43547,0.37269,0.15743,2.29897,2.56617,2.14417,0.00128253,0.00128253,0.00128253
32,1770.66,2.09473,2.26824,1.89899,0.40696,0.44088,0.37538,0.15496,2.34632,2.68119,2.1613,0.0012686,0.0012686,0.0012686
33,1825.93,2.08594,2.24673,1.89218,0.3983,0.42632,0.36793,0.15162,2.30897,2.58832,2.18072,0.00125433,0.00125433,0.00125433
34,1880.77,2.07226,2.20677,1.87984,0.41644,0.45843,0.37483,0.15783,2.30715,2.55281,2.14461,0.00123972,0.00123972,0.00123972
35,1935.57,2.06797,2.211,1.88905,0.4358,0.4211,0.36898,0.148,2.3434,2.61862,2.19452,0.00122477,0.00122477,0.00122477
36,1990.33,2.04426,2.13848,1.86445,0.44871,0.40402,0.37935,0.15172,2.39205,2.64006,2.19678,0.00120951,0.00120951,0.00120951
37,2044.9,2.04846,2.16086,1.87284,0.46007,0.43122,0.36956,0.14678,2.3767,2.7397,2.16743,0.00119393,0.00119393,0.00119393
38,2099.93,2.03633,2.11034,1.8507,0.44304,0.44656,0.36992,0.15227,2.33611,2.5838,2.15479,0.00117806,0.00117806,0.00117806
39,2154.85,2.00876,2.0977,1.85131,0.43036,0.47461,0.39955,0.16103,2.32064,2.58478,2.17834,0.00116189,0.00116189,0.00116189
40,2209.69,2.01447,2.07768,1.83206,0.43213,0.4364,0.38324,0.15402,2.33743,2.64243,2.15549,0.00114546,0.00114546,0.00114546
41,2264.75,1.97506,2.02225,1.80678,0.45399,0.4234,0.37815,0.1477,2.37301,2.64462,2.1984,0.00112875,0.00112875,0.00112875
42,2319.61,1.97225,2.02451,1.81457,0.4142,0.44541,0.37373,0.15151,2.37849,2.60417,2.19642,0.00111179,0.00111179,0.00111179
43,2372.6,1.96631,1.98093,1.80746,0.41998,0.43601,0.3679,0.15134,2.37792,2.63706,2.21592,0.00109459,0.00109459,0.00109459
